driverId,points,position,positionText,wins
vettel,256,1,1,5
alonso,252,2,2,5
webber,242,3,3,4
hamilton,240,4,4,3
button,214,5,5,2
massa,144,6,6,0
rosberg,142,7,7,0
kubica,136,8,8,0
michael_schumacher,72,9,9,0
barrichello,47,10,10,0
sutil,47,11,11,0
kobayashi,32,12,12,0
petrov,27,13,13,0
hulkenberg,22,14,14,0
liuzzi,21,15,15,0
buemi,8,16,16,0
rosa,6,17,17,0
heidfeld,6,18,18,0
alguersuari,5,19,19,0
kovalainen,0,20,20,0
trulli,0,21,21,0
chandhok,0,22,22,0
bruno_senna,0,23,23,0
grassi,0,24,24,0
glock,0,25,25,0
yamamoto,0,26,26,0
klien,0,27,27,0
vettel,392,1,1,11
button,270,2,2,3
webber,258,3,3,1
alonso,257,4,4,1
hamilton,227,5,5,3
massa,118,6,6,0
rosberg,89,7,7,0
michael_schumacher,76,8,8,0
sutil,42,9,9,0
petrov,37,10,10,0
heidfeld,34,11,11,0
kobayashi,30,12,12,0
resta,27,13,13,0
alguersuari,26,14,14,0
buemi,15,15,15,0
perez,14,16,16,0
barrichello,4,17,17,0
bruno_senna,2,18,18,0
maldonado,1,19,19,0
rosa,0,20,20,0
trulli,0,21,21,0
kovalainen,0,22,22,0
liuzzi,0,23,23,0
ambrosio,0,24,24,0
glock,0,25,25,0
karthikeyan,0,26,26,0
ricciardo,0,27,27,0
chandhok,0,28,28,0
vettel,281,1,1,5
alonso,278,2,2,3
raikkonen,207,3,3,1
hamilton,190,4,4,4
button,188,5,5,3
webber,179,6,6,2
massa,122,7,7,0
grosjean,96,8,8,0
rosberg,93,9,9,1
perez,66,10,10,0
hulkenberg,63,11,11,0
kobayashi,60,12,12,0
michael_schumacher,49,13,13,0
resta,46,14,14,0
maldonado,45,15,15,1
bruno_senna,31,16,16,0
vergne,16,17,17,0
ricciardo,10,18,18,0
petrov,0,19,19,0
glock,0,20,20,0
pic,0,21,21,0
kovalainen,0,22,22,0
ambrosio,0,23,23,0
karthikeyan,0,24,24,0
rosa,0,25,25,0
vettel,397,1,1,13
alonso,242,2,2,2
webber,199,3,3,0
hamilton,189,4,4,1
raikkonen,183,5,5,1
rosberg,171,6,6,2
grosjean,132,7,7,0
massa,112,8,8,0
button,73,9,9,0
hulkenberg,51,10,10,0
perez,49,11,11,0
resta,48,12,12,0
sutil,29,13,13,0
ricciardo,20,14,14,0
vergne,13,15,15,0
gutierrez,6,16,16,0
bottas,4,17,17,0
maldonado,1,18,18,0
jules_bianchi,0,19,19,0
pic,0,20,20,0
garde,0,21,21,0
kovalainen,0,22,22,0
chilton,0,23,23,0
hamilton,384,1,1,11
rosberg,317,2,2,5
ricciardo,238,3,3,3
bottas,186,4,4,0
vettel,167,5,5,0
alonso,161,6,6,0
massa,134,7,7,0
button,126,8,8,0
hulkenberg,96,9,9,0
perez,59,10,10,0
kevin_magnussen,55,11,11,0
raikkonen,55,12,12,0
vergne,22,13,13,0
grosjean,8,14,14,0
kvyat,8,15,15,0
maldonado,2,16,16,0
jules_bianchi,2,17,17,0
sutil,0,18,18,0
ericsson,0,19,19,0
gutierrez,0,20,20,0
chilton,0,21,21,0
kobayashi,0,22,22,0
stevens,0,23,23,0
lotterer,0,24,24,0
hamilton,381,1,1,10
rosberg,322,2,2,6
vettel,278,3,3,3
raikkonen,150,4,4,0
bottas,136,5,5,0
massa,121,6,6,0
kvyat,95,7,7,0
ricciardo,92,8,8,0
perez,78,9,9,0
hulkenberg,58,10,10,0
grosjean,51,11,11,0
max_verstappen,49,12,12,0
nasr,27,13,13,0
maldonado,27,14,14,0
sainz,18,15,15,0
button,16,16,16,0
alonso,11,17,17,0
ericsson,9,18,18,0
merhi,0,19,19,0
rossi,0,20,20,0
stevens,0,21,21,0
kevin_magnussen,0,22,22,0
rosberg,385,1,1,9
hamilton,380,2,2,10
ricciardo,256,3,3,1
vettel,212,4,4,0
max_verstappen,204,5,5,1
raikkonen,186,6,6,0
perez,101,7,7,0
bottas,85,8,8,0
hulkenberg,72,9,9,0
alonso,54,10,10,0
massa,53,11,11,0
sainz,46,12,12,0
grosjean,29,13,13,0
kvyat,25,14,14,0
button,21,15,15,0
kevin_magnussen,7,16,16,0
nasr,2,17,17,0
jolyon_palmer,1,18,18,0
wehrlein,1,19,19,0
vandoorne,1,20,20,0
gutierrez,0,21,21,0
ericsson,0,22,22,0
ocon,0,23,23,0
haryanto,0,24,24,0
hamilton,363,1,1,9
vettel,317,2,2,5
bottas,305,3,3,3
raikkonen,205,4,4,0
ricciardo,200,5,5,1
max_verstappen,168,6,6,2
perez,100,7,7,0
ocon,87,8,8,0
sainz,54,9,9,0
hulkenberg,43,10,10,0
massa,43,11,11,0
stroll,40,12,12,0
grosjean,28,13,13,0
kevin_magnussen,19,14,14,0
alonso,17,15,15,0
vandoorne,13,16,16,0
jolyon_palmer,8,17,17,0
wehrlein,5,18,18,0
kvyat,5,19,19,0
ericsson,0,20,20,0
gasly,0,21,21,0
giovinazzi,0,22,22,0
brendon_hartley,0,23,23,0
button,0,24,24,0
resta,0,25,25,0
hamilton,408,1,1,11
vettel,320,2,2,5
raikkonen,251,3,3,1
max_verstappen,249,4,4,2
bottas,247,5,5,0
ricciardo,170,6,6,2
hulkenberg,69,7,7,0
perez,62,8,8,0
kevin_magnussen,56,9,9,0
sainz,53,10,10,0
alonso,50,11,11,0
ocon,49,12,12,0
leclerc,39,13,13,0
grosjean,37,14,14,0
gasly,29,15,15,0
vandoorne,12,16,16,0
ericsson,9,17,17,0
stroll,6,18,18,0
brendon_hartley,4,19,19,0
sirotkin,1,20,20,0
hamilton,413,1,1,11
bottas,326,2,2,4
max_verstappen,278,3,3,3
leclerc,264,4,4,2
vettel,240,5,5,1
sainz,96,6,6,0
gasly,95,7,7,0
albon,92,8,8,0
ricciardo,54,9,9,0
perez,52,10,10,0
norris,49,11,11,0
raikkonen,43,12,12,0
kvyat,37,13,13,0
hulkenberg,37,14,14,0
stroll,21,15,15,0
kevin_magnussen,20,16,16,0
giovinazzi,14,17,17,0
grosjean,8,18,18,0
kubica,1,19,19,0
russell,0,20,20,0
hamilton,347,1,1,11
bottas,223,2,2,2
max_verstappen,214,3,3,2
perez,125,4,4,1
ricciardo,119,5,5,0
sainz,105,6,6,0
albon,105,7,7,0
leclerc,98,8,8,0
norris,97,9,9,0
gasly,75,10,10,1
stroll,75,11,11,0
ocon,62,12,12,0
vettel,33,13,13,0
kvyat,32,14,14,0
hulkenberg,10,15,15,0
raikkonen,4,16,16,0
giovinazzi,4,17,17,0
russell,3,18,18,0
grosjean,2,19,19,0
kevin_magnussen,1,20,20,0
latifi,0,21,21,0
aitken,0,22,22,0
pietro_fittipaldi,0,23,23,0
max_verstappen,395.5,1,1,10
hamilton,387.5,2,2,8
bottas,226,3,3,1
perez,190,4,4,1
sainz,164.5,5,5,0
norris,160,6,6,0
leclerc,159,7,7,0
ricciardo,115,8,8,1
gasly,110,9,9,0
alonso,81,10,10,0
ocon,74,11,11,1
vettel,43,12,12,0
stroll,34,13,13,0
tsunoda,32,14,14,0
russell,16,15,15,0
raikkonen,10,16,16,0
latifi,7,17,17,0
giovinazzi,3,18,18,0
mick_schumacher,0,19,19,0
kubica,0,20,20,0
mazepin,0,21,21,0
max_verstappen,454,1,1,15
leclerc,308,2,2,3
perez,305,3,3,2
russell,275,4,4,1
sainz,246,5,5,1
hamilton,240,6,6,0
norris,122,7,7,0
ocon,92,8,8,0
alonso,81,9,9,0
bottas,49,10,10,0
ricciardo,37,11,11,0
vettel,37,12,12,0
kevin_magnussen,25,13,13,0
gasly,23,14,14,0
stroll,18,15,15,0
mick_schumacher,12,16,16,0
tsunoda,12,17,17,0
zhou,6,18,18,0
albon,4,19,19,0
latifi,2,20,20,0
de_vries,2,21,21,0
hulkenberg,0,22,22,0
