season,round,raceId,driverId,number,position,time,,,
2010,1,Bahrain Grand Prix,vettel,1,1,0:02:03,,,
2010,1,Bahrain Grand Prix,alonso,1,2,0:02:05,,,
2010,1,Bahrain Grand Prix,massa,1,3,0:02:07,,,
2010,1,Bahrain Grand Prix,rosberg,1,4,0:02:08,,,
2010,1,Bahrain Grand Prix,hamilton,1,5,0:02:09,,,
2010,1,Bahrain Grand Prix,michael_schumacher,1,6,0:02:10,,,
2010,1,Bahrain Grand Prix,webber,1,7,0:02:10,,,
2010,1,Bahrain Grand Prix,button,1,8,0:02:11,,,
2010,1,Bahrain Grand Prix,liuzzi,1,9,0:02:11,,,
2010,1,Bahrain Grand Prix,barrichello,1,10,0:02:12,,,
2010,1,Bahrain Grand Prix,petrov,1,11,0:02:13,,,
2010,1,Bahrain Grand Prix,kobayashi,1,12,0:02:14,,,
2010,1,Bahrain Grand Prix,hulkenberg,1,13,0:02:14,,,
2010,1,Bahrain Grand Prix,rosa,1,14,0:02:15,,,
2010,1,Bahrain Grand Prix,alguersuari,1,15,0:02:15,,,
2010,1,Bahrain Grand Prix,kovalainen,1,16,0:02:17,,,
2010,1,Bahrain Grand Prix,buemi,1,17,0:02:18,,,
2010,1,Bahrain Grand Prix,glock,1,18,0:02:19,,,
2010,1,Bahrain Grand Prix,grassi,1,19,0:02:19,,,
2010,1,Bahrain Grand Prix,trulli,1,20,0:02:20,,,
2010,1,Bahrain Grand Prix,kubica,1,21,0:02:20,,,
2010,1,Bahrain Grand Prix,sutil,1,22,0:02:24,,,
2010,1,Bahrain Grand Prix,bruno_senna,1,23,0:02:28,,,
2010,1,Bahrain Grand Prix,chandhok,1,24,0:02:34,,,
2010,1,Bahrain Grand Prix,vettel,2,1,0:02:03,,,
2010,1,Bahrain Grand Prix,alonso,2,2,0:02:03,,,
2010,1,Bahrain Grand Prix,massa,2,3,0:02:03,,,
2010,1,Bahrain Grand Prix,rosberg,2,4,0:02:04,,,
2010,1,Bahrain Grand Prix,hamilton,2,5,0:02:04,,,
2010,1,Bahrain Grand Prix,michael_schumacher,2,6,0:02:04,,,
2010,2,Australian Grand Prix,vettel,1,1,0:02:07,,,
2010,2,Australian Grand Prix,massa,1,2,0:02:08,,,
2010,2,Australian Grand Prix,webber,1,3,0:02:10,,,
2010,2,Australian Grand Prix,kubica,1,4,0:02:11,,,
2010,2,Australian Grand Prix,rosberg,1,5,0:02:12,,,02:01.2
2010,2,Australian Grand Prix,button,1,6,0:02:13,,,
2010,2,Australian Grand Prix,hamilton,1,7,0:02:14,,,
2010,2,Australian Grand Prix,sutil,1,8,0:02:15,,,
2010,2,Australian Grand Prix,barrichello,1,9,0:02:16,,,
2010,2,Australian Grand Prix,petrov,1,10,0:02:18,,,
2010,2,Australian Grand Prix,rosa,1,11,0:02:18,,,
2010,2,Australian Grand Prix,liuzzi,1,12,0:02:19,,,
2010,2,Australian Grand Prix,alguersuari,1,13,0:02:20,,,
2010,2,Australian Grand Prix,bruno_senna,1,14,0:02:21,,,
2010,2,Australian Grand Prix,kovalainen,1,15,0:02:22,,,
2010,2,Australian Grand Prix,chandhok,1,16,0:02:23,,,
2010,2,Australian Grand Prix,glock,1,17,0:02:25,,,
2010,2,Australian Grand Prix,alonso,1,18,0:02:26,,,
2010,2,Australian Grand Prix,grassi,1,19,0:02:28,,,
2010,2,Australian Grand Prix,michael_schumacher,1,20,0:02:36,,,
2010,2,Australian Grand Prix,vettel,2,1,0:02:44,,,
2010,2,Australian Grand Prix,massa,2,2,0:02:44,,,
2010,2,Australian Grand Prix,webber,2,3,0:02:44,,,
2010,2,Australian Grand Prix,kubica,2,4,0:02:44,,,
2010,2,Australian Grand Prix,rosberg,2,5,0:02:44,,,
2010,2,Australian Grand Prix,button,2,6,0:02:44,,,
2010,2,Australian Grand Prix,hamilton,2,7,0:02:44,,,
2010,2,Australian Grand Prix,sutil,2,8,0:02:45,,,
