season,circuitId,circuitName,lat,long,country,url
2010,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2010,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
2010,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2010,hockenheimring,Hockenheimring,49.3278,8.56583,Germany,http://en.wikipedia.org/wiki/Hockenheimring
2010,hungaroring,Hungaroring,47.5789,19.2486,Hungary,http://en.wikipedia.org/wiki/Hungaroring
2010,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2010,istanbul,Istanbul Park,40.9517,29.405,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
2010,marina_bay,Marina Bay Street Circuit,1.2914,103.864,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2010,monaco,Circuit de Monaco,43.7347,7.42056,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2010,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2010,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
2010,shanghai,Shanghai International Circuit,31.3389,121.22,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2010,silverstone,Silverstone Circuit,52.0786,-1.01694,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
2010,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2010,suzuka,Suzuka Circuit,34.8431,136.541,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
2010,valencia,Valencia Street Circuit,39.4589,-0.331667,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
2010,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
2010,yas_marina,Yas Marina Circuit,24.4672,54.6031,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
2010,yeongam,Korean International Circuit,34.7333,126.417,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit
2011,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2011,buddh,Buddh International Circuit,28.3487,77.5331,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
2011,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2011,hungaroring,Hungaroring,47.5789,19.2486,Hungary,http://en.wikipedia.org/wiki/Hungaroring
2011,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2011,istanbul,Istanbul Park,40.9517,29.405,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
2011,marina_bay,Marina Bay Street Circuit,1.2914,103.864,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2011,monaco,Circuit de Monaco,43.7347,7.42056,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2011,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2011,nurburgring,Nürburgring,50.3356,6.9475,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring
2011,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
2011,shanghai,Shanghai International Circuit,31.3389,121.22,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2011,silverstone,Silverstone Circuit,52.0786,-1.01694,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
2011,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2011,suzuka,Suzuka Circuit,34.8431,136.541,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
2011,valencia,Valencia Street Circuit,39.4589,-0.331667,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
2011,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
2011,yas_marina,Yas Marina Circuit,24.4672,54.6031,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
2011,yeongam,Korean International Circuit,34.7333,126.417,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit
2012,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2012,americas,Circuit of the Americas,30.1328,-97.6411,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
2012,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
2012,buddh,Buddh International Circuit,28.3487,77.5331,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
2012,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
2012,hockenheimring,Hockenheimring,49.3278,8.56583,Germany,http://en.wikipedia.org/wiki/Hockenheimring
2012,hungaroring,Hungaroring,47.5789,19.2486,Hungary,http://en.wikipedia.org/wiki/Hungaroring
2012,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2012,marina_bay,Marina Bay Street Circuit,1.2914,103.864,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
2012,monaco,Circuit de Monaco,43.7347,7.42056,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
2012,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
2012,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
2012,shanghai,Shanghai International Circuit,31.3389,121.22,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
2012,silverstone,Silverstone Circuit,52.0786,-1.01694,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
2012,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
2012,suzuka,Suzuka Circuit,34.8431,136.541,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
2012,valencia,Valencia Street Circuit,39.4589,-0.331667,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
