number,position,driverId,constructorId
5,1,vettel,red_bull
7,2,massa,ferrari
8,3,alonso,ferrari
2,4,hamilton,mclaren
4,5,rosberg,mercedes
6,6,webber,red_bull
3,7,michael_schumacher,mercedes
1,8,button,mclaren
11,9,kubica,renault
14,10,sutil,force_india
9,11,barrichello,williams
15,12,liuzzi,force_india
10,13,hulkenberg,williams
22,14,rosa,sauber
16,15,buemi,toro_rosso
23,16,kobayashi,sauber
12,17,petrov,renault
17,18,alguersuari,toro_rosso
24,19,glock,virgin
18,20,trulli,lotus_racing
19,21,kovalainen,lotus_racing
25,22,grassi,virgin
21,23,bruno_senna,hrt
20,24,chandhok,hrt
1,1,vettel,red_bull
3,2,hamilton,mclaren
2,3,webber,red_bull
4,4,button,mclaren
5,5,alonso,ferrari
10,6,petrov,renault
8,7,rosberg,mercedes
6,8,massa,ferrari
16,9,kobayashi,sauber
18,10,buemi,toro_rosso
7,11,michael_schumacher,mercedes
19,12,alguersuari,toro_rosso
17,13,perez,sauber
15,14,resta,force_india
12,15,maldonado,williams
14,16,sutil,force_india
11,17,barrichello,williams
9,18,heidfeld,renault
20,19,kovalainen,lotus_racing
21,20,trulli,lotus_racing
24,21,glock,virgin
25,22,ambrosio,virgin
23,23,liuzzi,hrt
22,24,karthikeyan,hrt
4,1,hamilton,mclaren
3,2,button,mclaren
10,3,grosjean,lotus_f1
7,4,michael_schumacher,mercedes
2,5,webber,red_bull
1,6,vettel,red_bull
8,7,rosberg,mercedes
18,8,maldonado,williams
12,9,hulkenberg,force_india
16,10,ricciardo,toro_rosso
17,11,vergne,toro_rosso
5,12,alonso,ferrari
14,13,kobayashi,sauber
19,14,bruno_senna,williams
11,15,resta,force_india
6,16,massa,ferrari
15,17,perez,sauber
9,18,raikkonen,lotus_f1
20,19,kovalainen,caterham
21,20,petrov,caterham
24,21,glock,marussia
25,22,pic,marussia
22,23,rosa,hrt
23,24,karthikeyan,hrt
1,1,vettel,red_bull
2,2,webber,red_bull
10,3,hamilton,mercedes
4,4,massa,ferrari
3,5,alonso,ferrari
9,6,rosberg,mercedes
7,7,raikkonen,lotus_f1
8,8,grosjean,lotus_f1
14,9,resta,force_india
5,10,button,mclaren
11,11,hulkenberg,sauber
15,12,sutil,force_india
18,13,vergne,toro_rosso
19,14,ricciardo,toro_rosso
6,15,perez,mclaren
17,16,bottas,williams
16,17,maldonado,williams
12,18,gutierrez,sauber
22,19,jules_bianchi,marussia
23,20,chilton,marussia
21,21,garde,caterham
20,22,pic,caterham
44,1,hamilton,mercedes
3,2,ricciardo,red_bull
6,3,rosberg,mercedes
20,4,kevin_magnussen,mclaren
14,5,alonso,ferrari
25,6,vergne,toro_rosso
27,7,hulkenberg,force_india
26,8,kvyat,toro_rosso
19,9,massa,williams
77,10,bottas,williams
22,11,button,mclaren
7,12,raikkonen,ferrari
