season,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,statusId,time,milliseconds,fastestLap,fastestLapRank,fastestLapTime,fastestLapSpeed
2010,Bahrain Grand Prix,alonso,ferrari,8,3,1,1,25,49,Finished,1:39:20.396,5960396,45,1,1:58.287,191.706
2010,Bahrain Grand Prix,massa,ferrari,7,2,2,2,18,49,Finished,+16.099,5976495,38,5,1:59.732,189.392
2010,Bahrain Grand Prix,hamilton,mclaren,2,4,3,3,15,49,Finished,+23.182,5983578,42,4,1:59.560,189.665
2010,Bahrain Grand Prix,vettel,red_bull,5,1,4,4,12,49,Finished,+38.799,5999195,32,12,2:00.218,188.627
2010,Bahrain Grand Prix,rosberg,mercedes,4,5,5,5,10,49,Finished,+40.213,6000609,45,13,2:00.236,188.599
2010,Bahrain Grand Prix,michael_schumacher,mercedes,3,7,6,6,8,49,Finished,+44.163,6004559,45,11,2:00.204,188.649
2010,Bahrain Grand Prix,button,mclaren,1,8,7,7,6,49,Finished,+45.280,6005676,45,9,1:59.970,189.017
2010,Bahrain Grand Prix,webber,red_bull,6,6,8,8,4,49,Finished,+46.360,6006756,45,3,1:59.487,189.781
2010,Bahrain Grand Prix,liuzzi,force_india,15,12,9,9,2,49,Finished,+53.008,6013404,39,7,1:59.906,189.118
2010,Bahrain Grand Prix,barrichello,williams,9,11,10,10,1,49,Finished,+1:02.489,6022885,47,6,1:59.833,189.233
2010,Bahrain Grand Prix,kubica,renault,11,9,11,11,0,49,Finished,+1:09.093,6029489,33,14,2:00.474,188.226
2010,Bahrain Grand Prix,sutil,force_india,14,10,12,12,0,49,Finished,+1:22.958,6043354,49,2,1:59.393,189.930
2010,Bahrain Grand Prix,alguersuari,toro_rosso,17,18,13,13,0,49,Finished,+1:32.656,6053052,28,8,1:59.964,189.026
2010,Bahrain Grand Prix,hulkenberg,williams,10,13,14,14,0,48,+1 Lap,,,34,15,2:01.401,186.789
2010,Bahrain Grand Prix,kovalainen,lotus_racing,19,21,15,15,0,47,+2 Laps,,,47,17,2:02.701,184.810
2010,Bahrain Grand Prix,buemi,toro_rosso,16,15,16,16,0,46,Electrical,,,41,10,2:00.080,188.844
2010,Bahrain Grand Prix,trulli,lotus_racing,18,20,17,17,0,46,Hydraulics,,,34,18,2:02.930,184.465
2010,Bahrain Grand Prix,rosa,sauber,22,14,18,R,0,28,Hydraulics,,,27,16,2:01.650,186.406
2010,Bahrain Grand Prix,bruno_senna,hrt,21,23,19,R,0,17,Overheating,,,14,22,2:09.127,175.613
2010,Bahrain Grand Prix,glock,virgin,24,19,20,R,0,16,Gearbox,,,11,21,2:07.062,178.467
2010,Bahrain Grand Prix,petrov,renault,12,17,21,R,0,13,Suspension,,,7,19,2:04.307,182.422
2010,Bahrain Grand Prix,kobayashi,sauber,23,16,22,R,0,11,Hydraulics,,,4,20,2:05.044,181.347
2010,Bahrain Grand Prix,grassi,virgin,25,22,23,R,0,2,Hydraulics,,,2,23,2:09.361,175.295
2010,Bahrain Grand Prix,chandhok,hrt,20,24,24,R,0,1,Accident,,,,,,
2010,Australian Grand Prix,button,mclaren,1,4,1,1,25,58,Finished,1:33:36.531,5616531,52,6,1:29.291,213.804
2010,Australian Grand Prix,kubica,renault,11,9,2,2,18,58,Finished,+12.034,5628565,52,8,1:29.570,213.138
2010,Australian Grand Prix,massa,ferrari,7,5,3,3,15,58,Finished,+14.488,5631019,52,7,1:29.537,213.216
2010,Australian Grand Prix,alonso,ferrari,8,3,4,4,12,58,Finished,+16.304,5632835,47,10,1:29.707,212.812
2010,Australian Grand Prix,rosberg,mercedes,4,6,5,5,10,58,Finished,+16.683,5633214,53,2,1:28.489,215.742
2010,Australian Grand Prix,hamilton,mclaren,2,11,6,6,8,58,Finished,+29.898,5646429,47,3,1:28.506,215.700
2011,Australian Grand Prix,vettel,red_bull,1,1,1,1,25,58,Finished,1:29:30.259,5370259,44,4,1:29.844,212.488
2011,Australian Grand Prix,hamilton,mclaren,3,2,2,2,18,58,Finished,+22.297,5392556,41,8,1:30.314,211.382
2011,Australian Grand Prix,petrov,renault,10,6,3,3,15,58,Finished,+30.560,5400819,55,7,1:30.064,211.969
2011,Australian Grand Prix,alonso,ferrari,5,5,4,4,12,58,Finished,+31.772,5402031,49,2,1:29.487,213.336
2011,Australian Grand Prix,webber,red_bull,2,3,5,5,10,58,Finished,+38.171,5408430,50,3,1:29.600,213.066
2011,Australian Grand Prix,button,mclaren,4,4,6,6,8,58,Finished,+54.304,5424563,49,5,1:29.883,212.396
2011,Australian Grand Prix,massa,ferrari,6,8,7,7,6,58,Finished,+1:25.186,5455445,55,1,1:28.947,214.631
2011,Australian Grand Prix,buemi,toro_rosso,18,10,8,8,4,57,+1 Lap,,,44,11,1:30.836,210.167
2011,Australian Grand Prix,sutil,force_india,14,16,9,9,2,57,+1 Lap,,,55,13,1:31.526,208.583
2011,Australian Grand Prix,resta,force_india,15,14,10,10,1,57,+1 Lap,,,40,14,1:31.941,207.641
2011,Australian Grand Prix,alguersuari,toro_rosso,19,12,11,11,0,57,+1 Lap,,,41,10,1:30.467,211.025
2011,Australian Grand Prix,heidfeld,renault,9,18,12,12,0,57,+1 Lap,,,43,15,1:32.377,206.661
2011,Australian Grand Prix,trulli,lotus_racing,21,20,13,13,0,56,+2 Laps,,,52,16,1:32.550,206.275
2011,Australian Grand Prix,ambrosio,virgin,25,22,14,14,0,54,+4 Laps,,,44,19,1:34.523,201.969
2011,Australian Grand Prix,glock,virgin,24,21,15,N,0,49,+9 Laps,,,48,22,1:35.789,199.300
2011,Australian Grand Prix,barrichello,williams,11,17,16,R,0,48,Transmission,,,47,12,1:31.404,208.861
2011,Australian Grand Prix,rosberg,mercedes,8,7,17,R,0,22,Collision,,,21,17,1:33.503,204.173
2011,Australian Grand Prix,kovalainen,lotus_racing,20,19,18,R,0,19,Water leak,,,19,20,1:34.918,201.129
2011,Australian Grand Prix,michael_schumacher,mercedes,7,11,19,R,0,19,Collision,,,13,21,1:35.319,200.283
2011,Australian Grand Prix,maldonado,williams,12,15,20,R,0,9,Transmission,,,7,18,1:34.102,202.873
2011,Australian Grand Prix,kobayashi,sauber,16,9,21,D,0,58,Disqualified,,,51,9,1:30.384,211.218
2011,Australian Grand Prix,perez,sauber,17,13,22,D,0,58,Disqualified,,,39,6,1:29.962,212.209
2011,Australian Grand Prix,liuzzi,hrt,23,0,23,F,0,0,Did not qualify,,,,,,
2011,Australian Grand Prix,karthikeyan,hrt,22,0,24,F,0,0,Did not qualify,,,,,,
2011,Malaysian Grand Prix,vettel,red_bull,1,1,1,1,25,56,Finished,1:37:39.832,5859832,33,6,1:41.539,196.523
2011,Malaysian Grand Prix,button,mclaren,4,4,2,2,18,56,Finished,+3.261,5863093,50,4,1:41.264,197.057
2011,Malaysian Grand Prix,heidfeld,renault,9,6,3,3,15,56,Finished,+25.075,5884907,47,7,1:41.547,196.508
2011,Malaysian Grand Prix,webber,red_bull,2,3,4,4,12,56,Finished,+26.384,5886216,46,1,1:40.571,198.415
2011,Malaysian Grand Prix,massa,ferrari,6,7,5,5,10,56,Finished,+36.958,5896790,41,9,1:41.999,195.637
2011,Malaysian Grand Prix,alonso,ferrari,5,5,6,6,8,56,Finished,+37.248,5897080,49,2,1:40.717,198.127
2012,Australian Grand Prix,button,mclaren,3,2,1,1,25,58,Finished,1:34:09.565,5649565,56,1,1:29.187,214.053
2012,Australian Grand Prix,vettel,red_bull,1,6,2,2,18,58,Finished,+2.139,5651704,57,2,1:29.417,213.503
2012,Australian Grand Prix,hamilton,mclaren,4,1,3,3,15,58,Finished,+4.075,5653640,57,4,1:29.538,213.214
2012,Australian Grand Prix,webber,red_bull,2,5,4,4,12,58,Finished,+4.547,5654112,57,3,1:29.438,213.452
2012,Australian Grand Prix,alonso,ferrari,5,12,5,5,10,58,Finished,+21.565,5671130,52,7,1:30.277,211.469
2012,Australian Grand Prix,kobayashi,sauber,14,13,6,6,8,58,Finished,+36.766,5686331,55,10,1:30.620,210.668
2012,Australian Grand Prix,raikkonen,lotus_f1,9,17,7,7,6,58,Finished,+38.014,5687579,50,11,1:30.759,210.346
2012,Australian Grand Prix,perez,sauber,15,22,8,8,4,58,Finished,+39.458,5689023,46,12,1:30.843,210.151
2012,Australian Grand Prix,ricciardo,toro_rosso,16,10,9,9,2,58,Finished,+39.556,5689121,53,8,1:30.592,210.733
2012,Australian Grand Prix,resta,force_india,11,15,10,10,1,58,Finished,+39.737,5689302,57,9,1:30.605,210.703
2012,Australian Grand Prix,vergne,toro_rosso,17,11,11,11,0,58,Finished,+39.848,5689413,52,6,1:30.274,211.476
2012,Australian Grand Prix,rosberg,mercedes,8,7,12,12,0,58,Finished,+57.642,5707207,53,14,1:30.931,209.948
2012,Australian Grand Prix,maldonado,williams,18,8,13,13,0,57,Accident,,,53,5,1:30.254,211.523
2012,Australian Grand Prix,glock,marussia,24,20,14,14,0,57,+1 Lap,,,43,19,1:34.253,202.548
2012,Australian Grand Prix,pic,marussia,25,21,15,15,0,53,+5 Laps,,,45,20,1:35.011,200.932
2012,Australian Grand Prix,bruno_senna,williams,19,14,16,16,0,52,Collision,,,49,13,1:30.855,210.123
2012,Australian Grand Prix,massa,ferrari,6,16,17,R,0,46,Collision,,,46,15,1:31.940,207.644
2012,Australian Grand Prix,kovalainen,caterham,20,18,18,R,0,38,Suspension,,,26,17,1:33.693,203.759
2012,Australian Grand Prix,petrov,caterham,21,19,19,R,0,34,Steering,,,27,16,1:33.214,204.806
2012,Australian Grand Prix,michael_schumacher,mercedes,7,4,20,R,0,10,Gearbox,,,4,18,1:34.021,203.048
2012,Australian Grand Prix,grosjean,lotus_f1,10,3,21,R,0,1,Collision,,,,,,
2012,Australian Grand Prix,hulkenberg,force_india,12,9,22,R,0,0,Collision,,,,,,
2012,Australian Grand Prix,rosa,hrt,22,0,23,F,0,0,Did not qualify,,,,,,
2012,Australian Grand Prix,karthikeyan,hrt,23,0,24,F,0,0,Did not qualify,,,,,,
2012,Malaysian Grand Prix,alonso,ferrari,5,8,1,1,25,56,Finished,2:44:51.812,9891812,53,7,1:41.680,196.250
2012,Malaysian Grand Prix,perez,sauber,15,9,2,2,18,56,Finished,+2.263,9894075,54,3,1:41.021,197.531
2012,Malaysian Grand Prix,hamilton,mclaren,4,1,3,3,15,56,Finished,+14.591,9906403,50,6,1:41.539,196.523
2012,Malaysian Grand Prix,webber,red_bull,2,4,4,4,12,56,Finished,+17.688,9909500,52,2,1:41.017,197.539
2012,Malaysian Grand Prix,raikkonen,lotus_f1,9,10,5,5,10,56,Finished,+29.456,9921268,53,1,1:40.722,198.117
2012,Malaysian Grand Prix,bruno_senna,williams,19,13,6,6,8,56,Finished,+37.667,9929479,55,5,1:41.404,196.785
2013,Australian Grand Prix,raikkonen,lotus_f1,7,7,1,1,25,58,Finished,1:30:03.225,5403225,56,1,1:29.274,213.845
2013,Australian Grand Prix,alonso,ferrari,3,5,2,2,18,58,Finished,+12.451,5415676,53,3,1:29.560,213.162
2013,Australian Grand Prix,vettel,red_bull,1,1,3,3,15,58,Finished,+22.346,5425571,42,10,1:30.409,211.160
2013,Australian Grand Prix,massa,ferrari,4,4,4,4,12,58,Finished,+33.577,5436802,38,8,1:30.239,211.558
2013,Australian Grand Prix,hamilton,mercedes,10,3,5,5,10,58,Finished,+45.561,5448786,45,5,1:29.759,212.689
2013,Australian Grand Prix,webber,red_bull,2,2,6,6,8,58,Finished,+46.800,5450025,45,4,1:29.732,212.753
2013,Australian Grand Prix,sutil,force_india,15,12,7,7,6,58,Finished,+1:05.068,5468293,49,13,1:30.710,210.459
2013,Australian Grand Prix,resta,force_india,14,9,8,8,4,58,Finished,+1:08.449,5471674,56,15,1:30.894,210.033
2013,Australian Grand Prix,button,mclaren,5,10,9,9,2,58,Finished,+1:21.630,5484855,41,7,1:30.198,211.654
2013,Australian Grand Prix,grosjean,lotus_f1,8,8,10,10,1,58,Finished,+1:22.759,5485984,41,9,1:30.395,211.193
2013,Australian Grand Prix,perez,mclaren,6,15,11,11,0,58,Finished,+1:23.367,5486592,46,6,1:29.926,212.294
2013,Australian Grand Prix,vergne,toro_rosso,18,13,12,12,0,58,Finished,+1:23.857,5487082,50,2,1:29.498,213.309
2013,Australian Grand Prix,gutierrez,sauber,12,18,13,13,0,57,+1 Lap,,,32,16,1:31.415,208.836
2013,Australian Grand Prix,bottas,williams,17,16,14,14,0,57,+1 Lap,,,42,12,1:30.652,210.594
2013,Australian Grand Prix,jules_bianchi,marussia,22,19,15,15,0,57,+1 Lap,,,52,11,1:30.454,211.055
2013,Australian Grand Prix,pic,caterham,20,22,16,16,0,56,+2 Laps,,,55,19,1:32.261,206.921
2013,Australian Grand Prix,chilton,marussia,23,20,17,17,0,56,+2 Laps,,,49,17,1:32.210,207.036
2013,Australian Grand Prix,garde,caterham,21,21,18,18,0,56,+2 Laps,,,39,20,1:32.636,206.084
2013,Australian Grand Prix,ricciardo,toro_rosso,19,14,19,R,0,39,Hydraulics,,,33,14,1:30.881,210.063
2013,Australian Grand Prix,rosberg,mercedes,9,6,20,R,0,26,Electrical,,,18,18,1:32.259,206.926
2013,Australian Grand Prix,maldonado,williams,16,17,21,R,0,24,Spun off,,,12,21,1:32.915,205.465
2013,Australian Grand Prix,hulkenberg,sauber,11,11,22,W,0,0,Fuel system,,,,,,
2013,Malaysian Grand Prix,vettel,red_bull,1,1,1,1,25,56,Finished,1:38:56.681,5936681,45,3,1:40.446,198.661
2013,Malaysian Grand Prix,webber,red_bull,2,5,2,2,18,56,Finished,+4.298,5940979,45,6,1:40.685,198.190
2013,Malaysian Grand Prix,hamilton,mercedes,10,4,3,3,15,56,Finished,+12.181,5948862,32,10,1:41.001,197.570
2013,Malaysian Grand Prix,rosberg,mercedes,9,6,4,4,12,56,Finished,+12.640,5949321,44,8,1:40.755,198.052
2013,Malaysian Grand Prix,massa,ferrari,4,2,5,5,10,56,Finished,+25.648,5962329,50,2,1:39.805,199.937
2013,Malaysian Grand Prix,grosjean,lotus_f1,8,11,6,6,8,56,Finished,+35.564,5972245,37,11,1:41.226,197.131
2013,Malaysian Grand Prix,raikkonen,lotus_f1,7,10,7,7,6,56,Finished,+48.479,5985160,37,13,1:41.769,196.079
2013,Malaysian Grand Prix,hulkenberg,sauber,11,12,8,8,4,56,Finished,+53.044,5989725,46,7,1:40.727,198.107
2014,Australian Grand Prix,rosberg,mercedes,6,3,1,1,25,57,Finished,1:32:58.710,5578710,19,1,1:32.478,206.436
2014,Australian Grand Prix,kevin_magnussen,mclaren,20,4,2,2,18,57,Finished,+26.777,5605487,49,6,1:33.066,205.131
2014,Australian Grand Prix,button,mclaren,22,10,3,3,15,57,Finished,+30.027,5608737,39,5,1:32.917,205.460
2014,Australian Grand Prix,alonso,ferrari,14,5,4,4,12,57,Finished,+35.284,5613994,57,7,1:33.186,204.867
2014,Australian Grand Prix,bottas,williams,77,15,5,5,10,57,Finished,+47.639,5626349,56,3,1:32.616,206.128
2014,Australian Grand Prix,hulkenberg,force_india,27,7,6,6,8,57,Finished,+50.718,5629428,56,2,1:32.568,206.235
2014,Australian Grand Prix,raikkonen,ferrari,7,11,7,7,6,57,Finished,+57.675,5636385,56,8,1:33.210,204.814
2014,Australian Grand Prix,vergne,toro_rosso,25,6,8,8,4,57,Finished,+1:00.441,5639151,56,10,1:33.691,203.763
2014,Australian Grand Prix,kvyat,toro_rosso,26,8,9,9,2,57,Finished,+1:03.585,5642295,35,11,1:33.864,203.387
2014,Australian Grand Prix,perez,force_india,11,16,10,10,1,57,Finished,+1:25.916,5664626,38,4,1:32.634,206.088
2014,Australian Grand Prix,sutil,sauber,99,13,11,11,0,56,+1 Lap,,,34,9,1:33.366,204.472
2014,Australian Grand Prix,gutierrez,sauber,21,20,12,12,0,56,+1 Lap,,,41,13,1:34.564,201.882
2014,Australian Grand Prix,chilton,marussia,4,17,13,13,0,55,+2 Laps,,,33,12,1:34.202,202.658
2014,Australian Grand Prix,jules_bianchi,marussia,17,18,14,N,0,49,+8 Laps,,,55,16,1:35.635,199.621
2014,Australian Grand Prix,grosjean,lotus_f1,8,22,15,R,0,43,ERS,,,41,15,1:35.281,200.363
2014,Australian Grand Prix,maldonado,lotus_f1,13,21,16,R,0,29,ERS,,,30,14,1:34.766,201.451
2014,Australian Grand Prix,ericsson,caterham,9,19,17,R,0,27,Oil pressure,,,17,18,1:37.332,196.141
2014,Australian Grand Prix,vettel,red_bull,1,12,18,R,0,3,Engine,,,26,17,1:37.064,196.682
2014,Australian Grand Prix,hamilton,mercedes,44,1,19,R,0,2,Engine,,,2,20,1:49.947,173.636
2014,Australian Grand Prix,massa,williams,19,9,20,R,0,0,Collision,,,2,19,1:40.287,190.361
2014,Australian Grand Prix,kobayashi,caterham,10,14,21,R,0,0,Collision,,,,,,
2014,Australian Grand Prix,ricciardo,red_bull,3,2,22,D,0,57,Disqualified,+24.525,5603235,,,,
2014,Malaysian Grand Prix,hamilton,mercedes,44,1,1,1,25,56,Finished,1:40:25.974,6025974,53,1,1:43.066,193.611
2014,Malaysian Grand Prix,rosberg,mercedes,6,3,2,2,18,56,Finished,+17.313,6043287,55,2,1:43.960,191.946
2014,Malaysian Grand Prix,vettel,red_bull,1,2,3,3,15,56,Finished,+24.534,6050508,51,4,1:44.289,191.341
2014,Malaysian Grand Prix,alonso,ferrari,14,4,4,4,12,56,Finished,+35.992,6061966,47,3,1:44.165,191.569
