season,round,grandPrix,circuitName,fp1_hour,fp1_date,fp2_hour,fp2_date,fp3_hour,fp3_date,qu_hour,qu_date,qf_hour,qf_date,sprint_hour,sprint_date,race_hour,race_date
2023,1,Bahrain Grand Prix,Bahrain International Circuit,14:30,03/03/2023,18:00,03/03/2023,14:30,04/03/2023,18:00,04/03/2023,,,,,18:00,05/03/2023
2023,2,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,16:30,17/03/2023,20:00,17/03/2023,16:30,18/03/2023,20:00,18/03/2023,,,,,20:00,19/03/2023
2023,3,Australian Grand Prix,Albert Park Circuit,12:30,31/03/2023,16:00,31/03/2023,12:30,01/04/2023,16:00,01/04/2023,,,,,15:00,02/04/2023
2023,4,Azerbaijan Grand Prix,Baku City Circuit,13:30,29/04/2023,13:30,29/04/2023,,,17:00,28/04/2023,,,17:30,28/04/2023,15:00,30/04/2023
2023,5,Miami Grand Prix,Miami International Autodrome,14:30,05/05/2023,18:00,05/05/2023,12:30,06/05/2023,16:00,06/05/2023,,,,,15:30,07/05/2023
2023,6,Emilia Romagna Grand Prix,Imola Circuit,13:30,19/05/2023,17:00,19/05/2023,12:30,20/05/2023,16:00,20/05/2023,,,,,15:00,21/05/2023
2023,7,Monaco Grand Prix,Circuit de Monaco,13:30,26/05/2023,17:00,26/05/2023,12:30,27/05/2023,16:00,27/05/2023,,,,,15:00,28/05/2023
2023,8,Spanish Grand Prix,Circuit de Barcelona-Catalunya,13:30,02/06/2023,17:00,02/06/2023,12:30,03/06/2023,16:00,03/06/2023,,,,,15:00,04/06/2023
2023,9,Canadian Grand Prix,Circuit Gilles Villeneuve,13:30,16/06/2023,17:00,16/06/2023,12:30,17/06/2023,16:00,17/06/2023,,,,,14:00,18/06/2023
2023,10,Austrian Grand Prix,Red Bull Ring,13:30,30/06/2023,12:30,01/07/2023,,,,,17:00,30/06/2023,16:30,01/07/2023,15:00,02/07/2023
2023,11,British Grand Prix,Silverstone Circuit,12:30,07/07/2023,16:00,07/07/2023,11:30,08/07/2023,15:00,08/07/2023,,,,,15:00,09/07/2023
2023,12,Hungarian Grand Prix,Hungaroring,13:30,21/07/2023,17:00,21/07/2023,12:30,22/07/2023,16:00,22/07/2023,,,,,15:00,23/07/2023
2023,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,13:30,27/07/2023,12:30,27/07/2023,,,17:00,28/07/2023,,,16:30,29/07/2023,15:00,30/07/2023
2023,14,Dutch Grand Prix,Circuit Zandvoort,12:30,25/08/2023,16:00,25/08/2023,11:30,26/08/2023,15:00,26/08/2023,,,,,15:00,27/08/2023
2023,15,Italian Grand Prix,Monza Circuit,13:30,01/09/2023,17:00,01/09/2023,12:30,02/09/2023,16:00,02/09/2023,,,,,15:00,03/09/2023
2023,16,Singapore Grand Prix,Marina Bay Street Circuit,17:30,15/09/2023,21:00,15/09/2023,17:30,16/09/2023,21:00,16/09/2023,,,,,20:00,17/09/2023
2023,17,Japanese Grand Prix,Suzuka International Racing Course,11:30,22/09/2023,15:00,22/09/2023,11:30,23/09/2023,15:00,23/09/2023,,,,,14:00,24/09/2023
2023,18,Qatar Grand Prix,Lusail International Circuit,13:30,07/10/2023,13:30,07/10/2023,,,17:00,06/10/2023,,,17:30,07/10/2023,17:00,08/10/2023
2023,19,United States Grand Prix,Circuit of the Americas,12:30,20/10/2023,13:00,21/10/2023,,,16:00,20/10/2023,,,17:00,21/10/2023,14:00,22/10/2023
2023,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,12:30,27/10/2023,16:00,27/10/2023,11:30,28/10/2023,15:00,28/10/2023,,,,,14:00,29/10/2023
2023,21,Sao Paulo Grand Prix,Interlagos Circuit,11:30,04/11/2023,11:30,04/11/2023,,,15:00,03/11/2023,,,15:30,04/11/2023,14:00,05/11/2023
2023,22,Las Vegas Grand Prix,Las Vegas Strip Circuit,20:30,16/11/2023,00:00,17/11/2023,20:30,17/11/2023,00:00,18/11/2023,,,,,22:00,18/11/2023
2023,23,Abu Dhabi Grand Prix,Yas Marina Circuit,13:30,24/11/2023,17:00,24/11/2023,14:30,25/11/2023,18:00,25/11/2023,,,,,17:00,26/11/2023
